contrast_type,difference_left_minus_right_median,difference_q025,difference_q975,left_protocol,left_target,metric,optimizer_name,paired_bootstrap_count,right_protocol,right_target
conflict_enriched_minus_uniform,8.0,8.0,8.0,conflict_enriched,parity2,n50,adamw,2000,uniform_random,parity2
conflict_enriched_minus_uniform,8.0,0.0,24.0,conflict_enriched,parity2,n90,adamw,2000,uniform_random,parity2
conflict_enriched_minus_uniform,4.786670127478917,2.3119195954638827,7.602562096989349,conflict_enriched,parity2,agreement_0.99,adamw,2000,uniform_random,parity2
cell_balanced_minus_uniform,-8.0,-8.0,-8.0,cell_balanced,parity2,n50,adamw,2000,uniform_random,parity2
cell_balanced_minus_uniform,-8.0,-16.0,0.0,cell_balanced,parity2,n90,adamw,2000,uniform_random,parity2
cell_balanced_minus_uniform,-5.822225411612891,-8.163539438474167,-3.391159292849356,cell_balanced,parity2,agreement_0.99,adamw,2000,uniform_random,parity2
conflict_enriched_minus_uniform,-24.0,-32.0,-24.0,conflict_enriched,mux3,n50,adamw,2000,uniform_random,mux3
conflict_enriched_minus_uniform,-32.0,-40.0,-24.0,conflict_enriched,mux3,n90,adamw,2000,uniform_random,mux3
conflict_enriched_minus_uniform,-25.16362012417051,-27.68361481596845,-23.039297986661065,conflict_enriched,mux3,agreement_0.99,adamw,2000,uniform_random,mux3
cell_balanced_minus_uniform,-8.0,-16.0,0.0,cell_balanced,mux3,n50,adamw,2000,uniform_random,mux3
cell_balanced_minus_uniform,-16.0,-16.0,-8.0,cell_balanced,mux3,n90,adamw,2000,uniform_random,mux3
cell_balanced_minus_uniform,-7.621603896778701,-10.318183600984499,-5.001194269781914,cell_balanced,mux3,agreement_0.99,adamw,2000,uniform_random,mux3
mux3_minus_parity2,16.0,16.0,24.0,uniform_random,mux3,n50,adamw,2000,uniform_random,parity2
mux3_minus_parity2,24.0,16.0,32.0,uniform_random,mux3,n90,adamw,2000,uniform_random,parity2
mux3_minus_parity2,13.300125949092319,10.400010974302596,16.57495900630184,uniform_random,mux3,agreement_0.99,adamw,2000,uniform_random,parity2
mux3_minus_parity2,16.0,16.0,24.0,cell_balanced,mux3,n50,adamw,2000,cell_balanced,parity2
mux3_minus_parity2,24.0,16.0,32.0,cell_balanced,mux3,n90,adamw,2000,cell_balanced,parity2
mux3_minus_parity2,11.478420363161689,9.721961145448423,13.51144428296699,cell_balanced,mux3,agreement_0.99,adamw,2000,cell_balanced,parity2
mux3_minus_parity2,-16.0,-16.0,-16.0,conflict_enriched,mux3,n50,adamw,2000,conflict_enriched,parity2
mux3_minus_parity2,-16.0,-32.0,-8.0,conflict_enriched,mux3,n90,adamw,2000,conflict_enriched,parity2
mux3_minus_parity2,-16.65292212500125,-18.42928841288122,-15.113102514621577,conflict_enriched,mux3,agreement_0.99,adamw,2000,conflict_enriched,parity2
