condition_index,conflict_fraction,copy_x1_full_similarity,copy_x2_full_similarity,dataset_index,dataset_signature,full_target_accuracy,function_collision,indices,lineage_count_median,log_volume_max,log_volume_median,log_volume_min,loss_mean,loss_median,modal_function_hex,modal_is_target,modal_probability,mux_cell_counts,parity_alt_full_similarity,sampling_protocol,target_cell_counts,target_function_mass,target_mass_replica_mean,target_name,threshold,train_hard_exact_mass,training_copy_x1_accuracy,training_copy_x2_accuracy,training_parity_alt_accuracy,unique_function_count,unseen_agreement_replica_mean,unseen_target_accuracy
0,0.375,0.5054497718811035,0.4924349784851074,0,b1674c8027723817,0.5002894401550293,0.442418698876816,"[1, 12, 25, 26, 27, 31, 34, 35, 36, 51, 52, 62, 80, 84, 98, 110, 120, 124, 134, 137, 138, 140, 149, 156, 161, 212, 213, 222, 225, 235, 242, 249]",710.5,-1.7535894400778878,-1.7701535667176698,-1.8610044665860077,0.6745320558547974,0.6755844354629517,0x0000000000000000000000000000000000000000000000000000000000000000,False,0.6651611328125,"[6, 6, 2, 4, 6, 1, 3, 4]",0.4990859031677246,uniform_random,"[12, 6, 7, 7]",0.0,0.0,parity2,0.68,0.0,0.5625,0.4375,0.375,2594,0.9302174530039946,0.4862850734165737
1,0.375,0.5490422248840332,0.578218936920166,0,b1674c8027723817,0.5643210411071777,0.045923385089198514,"[1, 12, 25, 26, 27, 31, 34, 35, 36, 51, 52, 62, 80, 84, 98, 110, 120, 124, 134, 137, 138, 140, 149, 156, 161, 212, 213, 222, 225, 235, 242, 249]",601.0,-2.2350853096678085,-2.2421101025779437,-2.2654810496467177,0.6730266809463501,0.6748318672180176,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,False,0.2142333984375,"[6, 6, 2, 4, 6, 1, 3, 4]",0.4985318183898926,uniform_random,"[6, 6, 2, 4, 6, 1, 3, 4]",0.0,0.0,mux3,0.68,0.0,0.75,0.875,0.3125,6249,0.6222994509740953,0.5576171875
2,0.4375,0.5012111663818359,0.49901771545410156,1,58ad15a270c226c7,0.500645637512207,0.27526189305525883,"[4, 16, 18, 22, 37, 40, 48, 68, 87, 93, 94, 97, 106, 114, 115, 118, 130, 131, 136, 139, 152, 171, 173, 178, 188, 200, 213, 216, 226, 229, 238, 242]",473.0,-3.1308690429771358,-3.1660165917938725,-3.2218042472829977,0.6771687269210815,0.6778725385665894,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,False,0.524658203125,"[4, 3, 4, 5, 5, 4, 3, 4]",0.5001020431518555,uniform_random,"[7, 9, 9, 7]",0.0,0.0,parity2,0.68,0.0,0.5,0.5,0.4375,3562,0.9142645466426669,0.4901668003627232
3,0.4375,0.5772333145141602,0.5805158615112305,1,58ad15a270c226c7,0.5792827606201172,0.024254690027545475,"[4, 16, 18, 22, 37, 40, 48, 68, 87, 93, 94, 97, 106, 114, 115, 118, 130, 131, 136, 139, 152, 171, 173, 178, 188, 200, 213, 216, 226, 229, 238, 242]",523.0,-2.5717973986482336,-2.6502349001400582,-2.6998747008908355,0.6742217540740967,0.6757967472076416,0x0000000000000000000000000000000000000000000000000000000000000000,False,0.1556396484375,"[4, 3, 4, 5, 5, 4, 3, 4]",0.4977073669433594,uniform_random,"[4, 3, 4, 5, 5, 4, 3, 4]",0.0,0.0,mux3,0.68,0.0,0.78125,0.78125,0.28125,6750,0.5840486112114474,0.5746983119419643
4,0.46875,0.5086531639099121,0.49825620651245117,2,ce3fbc86d8d7ac0f,0.5002179145812988,0.44485876385857953,"[17, 24, 35, 40, 46, 55, 56, 66, 79, 81, 85, 97, 98, 101, 103, 111, 121, 123, 128, 131, 134, 137, 145, 146, 147, 178, 201, 202, 214, 215, 217, 249]",692.5,-1.7884323556656816,-1.8464268667248915,-1.9229146545942597,0.6749171018600464,0.6759442687034607,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,False,0.6669921875,"[2, 5, 4, 7, 7, 1, 5, 1]",0.5001997947692871,uniform_random,"[7, 11, 8, 6]",0.0,0.0,parity2,0.68,0.0,0.5625,0.46875,0.46875,2589,0.9183896360464558,0.485802241734096
5,0.46875,0.5306591987609863,0.5462260246276855,2,ce3fbc86d8d7ac0f,0.5385146141052246,0.17549296674703943,"[17, 24, 35, 40, 46, 55, 56, 66, 79, 81, 85, 97, 98, 101, 103, 111, 121, 123, 128, 131, 134, 137, 145, 146, 147, 178, 201, 202, 214, 215, 217, 249]",670.5,-1.8940408516807816,-1.9102482802942355,-1.9152726063050651,0.6724817156791687,0.6743417382240295,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,False,0.4189453125,"[2, 5, 4, 7, 7, 1, 5, 1]",0.5006613731384277,uniform_random,"[2, 5, 4, 7, 7, 1, 5, 1]",0.0,0.0,mux3,0.68,0.0,0.71875,0.8125,0.25,4612,0.7662922080957979,0.5288619995117188
6,0.53125,0.5180191993713379,0.5435271263122559,3,c6350c79ea7d662f,0.4990267753601074,0.15038427633034734,"[15, 16, 30, 40, 45, 63, 64, 66, 77, 86, 101, 105, 106, 110, 113, 124, 126, 130, 144, 161, 164, 174, 188, 190, 207, 209, 210, 219, 220, 231, 235, 252]",466.0,-3.127197472949714,-3.168602668330806,-3.1998669761863314,0.6766178607940674,0.6775084137916565,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,False,0.3878173828125,"[3, 3, 4, 7, 2, 5, 5, 3]",0.5032668113708496,uniform_random,"[6, 11, 7, 8]",0.0,0.0,parity2,0.68,0.0,0.53125,0.625,0.53125,4810,0.797659132866477,0.4863706316266741
7,0.53125,0.5414752960205078,0.5281352996826172,3,c6350c79ea7d662f,0.5350790023803711,0.18597703462641924,"[15, 16, 30, 40, 45, 63, 64, 66, 77, 86, 101, 105, 106, 110, 113, 124, 126, 130, 144, 161, 164, 174, 188, 190, 207, 209, 210, 219, 220, 231, 235, 252]",640.5,-2.0041482750979935,-2.0174573023292104,-2.0528301165043863,0.6736243963241577,0.6751786470413208,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,False,0.4312744140625,"[3, 3, 4, 7, 2, 5, 5, 3]",0.4999074935913086,uniform_random,"[3, 3, 4, 7, 2, 5, 5, 3]",0.0,0.0,mux3,0.68,0.0,0.78125,0.6875,0.15625,4480,0.7966562660201844,0.5262031555175781
8,0.5,0.48271846771240234,0.5087566375732422,4,999d074f63d85a28,0.4990425109863281,0.44992193222744475,"[3, 7, 10, 28, 69, 70, 73, 84, 110, 119, 130, 138, 142, 143, 145, 155, 156, 166, 176, 179, 181, 186, 190, 197, 202, 204, 210, 219, 221, 248, 249, 252]",675.5,-1.8071510461027915,-1.8471160846475296,-1.9525615396303408,0.6747990846633911,0.6758327484130859,0xFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,False,0.6707763671875,"[4, 0, 4, 2, 7, 6, 6, 3]",0.49951839447021484,uniform_random,"[4, 6, 13, 9]",0.0,0.0,parity2,0.68,0.0,0.3125,0.5625,0.5,2537,0.9289294771376421,0.48492649623325895
9,0.5,0.5257124900817871,0.5053210258483887,4,999d074f63d85a28,0.5150742530822754,0.3457336761098309,"[3, 7, 10, 28, 69, 70, 73, 84, 110, 119, 130, 138, 142, 143, 145, 155, 156, 166, 176, 179, 181, 186, 190, 197, 202, 204, 210, 219, 221, 248, 249, 252]",853.5,-1.2049643878247442,-1.210112414052976,-1.2763040941978872,0.6663587093353271,0.6683206558227539,0x0000000000000000000000000000000000000000000000000000000000000000,False,0.5880126953125,"[4, 0, 4, 2, 7, 6, 6, 3]",0.4997725486755371,uniform_random,"[4, 0, 4, 2, 7, 6, 6, 3]",0.0,0.0,mux3,0.68,0.0,0.875,0.625,0.3125,3265,0.8823714641310414,0.494605473109654
