sampling_protocol,target_name,cell_kind,relevant_cell,posterior_target_mean,posterior_target_min,posterior_target_max,row_count
cell_balanced,mux3,ordinary,0,0.9992234366280692,0.8839111328125,1.0,224
cell_balanced,mux3,ordinary,3,0.9986768450055804,0.8419189453125,1.0,224
cell_balanced,mux3,ordinary,4,0.999093736921038,0.86376953125,1.0,224
cell_balanced,mux3,ordinary,7,0.9974746704101562,0.77197265625,1.0,224
cell_balanced,mux3,selector_conflict,1,0.937758309500558,0.0,1.0,224
cell_balanced,mux3,selector_conflict,2,0.8561434064592633,0.0,1.0,224
cell_balanced,mux3,selector_conflict,5,0.941993168422154,0.0115966796875,1.0,224
cell_balanced,mux3,selector_conflict,6,0.9020402090890067,0.0,1.0,224
cell_balanced,parity2,parity_cell,0,0.987107413155692,0.09033203125,1.0,448
cell_balanced,parity2,parity_cell,1,0.9815970829554966,0.0616455078125,1.0,448
cell_balanced,parity2,parity_cell,2,0.9695875985281808,0.0810546875,1.0,448
cell_balanced,parity2,parity_cell,3,0.9859095982142857,0.4053955078125,1.0,448
conflict_enriched,mux3,ordinary,0,0.9985549926757813,0.8607177734375,1.0,240
conflict_enriched,mux3,ordinary,3,0.9980443318684896,0.825439453125,1.0,240
conflict_enriched,mux3,ordinary,4,0.9999837239583333,0.997314453125,1.0,240
conflict_enriched,mux3,ordinary,7,1.0,1.0,1.0,240
conflict_enriched,mux3,selector_conflict,1,0.9900277944711539,0.2691650390625,1.0,208
conflict_enriched,mux3,selector_conflict,2,0.995705824631911,0.752197265625,1.0,208
conflict_enriched,mux3,selector_conflict,5,0.9960139347956731,0.70458984375,1.0,208
conflict_enriched,mux3,selector_conflict,6,0.9996437659630408,0.97705078125,1.0,208
conflict_enriched,parity2,parity_cell,0,0.9804712023053851,0.152099609375,1.0,448
conflict_enriched,parity2,parity_cell,1,0.9786739349365234,0.0673828125,1.0,448
conflict_enriched,parity2,parity_cell,2,0.9955043792724609,0.704345703125,1.0,448
conflict_enriched,parity2,parity_cell,3,0.9999754769461495,0.9976806640625,1.0,448
uniform_random,mux3,ordinary,0,0.9966576500276548,0.5946044921875,1.0,226
uniform_random,mux3,ordinary,3,0.9899300277502828,0.3492431640625,1.0,221
uniform_random,mux3,ordinary,4,0.9838150444380734,0.3792724609375,1.0,218
uniform_random,mux3,ordinary,7,0.9998383103755483,0.9820556640625,1.0,228
uniform_random,mux3,selector_conflict,1,0.7211419328193832,0.0,1.0,227
uniform_random,mux3,selector_conflict,2,0.863316991307714,0.0001220703125,1.0,222
uniform_random,mux3,selector_conflict,5,0.6389091458671536,0.0,1.0,231
uniform_random,mux3,selector_conflict,6,0.891188530072774,0.000244140625,1.0,219
uniform_random,parity2,parity_cell,0,0.9741903477683499,0.12939453125,1.0,453
uniform_random,parity2,parity_cell,1,0.9641984031108917,0.073974609375,1.0,443
uniform_random,parity2,parity_cell,2,0.9370549463216871,0.005126953125,1.0,449
uniform_random,parity2,parity_cell,3,0.9960459596092002,0.8114013671875,1.0,447
