condition_index,dataset_index,lineage_count,log_volume,replica,sampling_protocol,target_function_mass,target_name,threshold,train_hard_exact_mass,unseen_agreement,unseen_target_accuracy
0,0,720,-1.7535894400778878,0,uniform_random,0.0,parity2,0.68,0.0,0.9316247389915393,0.48638698032924105
0,0,687,-1.8610044665860077,1,uniform_random,0.0,parity2,0.68,0.0,0.9305225537105967,0.48601205008370535
0,0,705,-1.7591802921812543,2,uniform_random,0.0,parity2,0.68,0.0,0.9262568761136178,0.4859837123325893
0,0,716,-1.7811268412540853,3,uniform_random,0.0,parity2,0.68,0.0,0.9324656432002243,0.48675755092075895
1,0,605,-2.2425941652004284,0,uniform_random,0.0,mux3,0.68,0.0,0.624943281902223,0.5550297328404018
1,0,590,-2.2416260399554586,1,uniform_random,0.0,mux3,0.68,0.0,0.6199563105163425,0.5577850341796875
1,0,617,-2.2350853096678085,2,uniform_random,0.0,mux3,0.68,0.0,0.6230400256363843,0.5601850237165179
1,0,597,-2.2654810496467177,3,uniform_random,0.0,mux3,0.68,0.0,0.6212581858414318,0.5574689592633929
2,1,461,-3.2218042472829977,0,uniform_random,0.0,parity2,0.68,0.0,0.914167502277669,0.49029541015625
2,1,477,-3.1308690429771358,1,uniform_random,0.0,parity2,0.68,0.0,0.91182794410524,0.49025399344308035
2,1,473,-3.1470943861394547,2,uniform_random,0.0,parity2,0.68,0.0,0.9129648639232502,0.48991176060267855
2,1,473,-3.184938797448291,3,uniform_random,0.0,parity2,0.68,0.0,0.9180978762645085,0.49020603724888395
3,1,544,-2.5717973986482336,0,uniform_random,0.0,mux3,0.68,0.0,0.5874908764602434,0.5749795096261161
3,1,525,-2.6350674603523685,1,uniform_random,0.0,mux3,0.68,0.0,0.5742674005015778,0.5768454415457589
3,1,518,-2.665402339927748,2,uniform_random,0.0,mux3,0.68,0.0,0.5876841452260003,0.5733664376395089
3,1,521,-2.6998747008908355,3,uniform_random,0.0,mux3,0.68,0.0,0.5867520226579674,0.5736018589564732
4,2,688,-1.841494498768409,0,uniform_random,0.0,parity2,0.68,0.0,0.9163968295692956,0.4862758091517857
4,2,720,-1.7884323556656816,1,uniform_random,0.0,parity2,0.68,0.0,0.9172399657845322,0.485382080078125
4,2,697,-1.851359234681374,2,uniform_random,0.0,parity2,0.68,0.0,0.9183274044878393,0.4861057826450893
4,2,674,-1.9229146545942597,3,uniform_random,0.0,parity2,0.68,0.0,0.9215943443441567,0.48544529506138395
5,2,683,-1.8940408516807816,0,uniform_random,0.0,mux3,0.68,0.0,0.7581804807823895,0.5284750802176339
5,2,673,-1.9139927433758446,1,uniform_random,0.0,mux3,0.68,0.0,0.7751254464353866,0.5290658133370536
5,2,668,-1.9152726063050651,2,uniform_random,0.0,mux3,0.68,0.0,0.7661292077242284,0.5293361118861607
5,2,666,-1.9065038172126265,3,uniform_random,0.0,mux3,0.68,0.0,0.7657336974411868,0.5285709926060268
6,3,466,-3.137925185674467,0,uniform_random,0.0,parity2,0.68,0.0,0.8024844818466647,0.48624747140066965
6,3,472,-3.127197472949714,1,uniform_random,0.0,parity2,0.68,0.0,0.79720552013045,0.48586600167410715
6,3,466,-3.1998669761863314,2,uniform_random,0.0,parity2,0.68,0.0,0.7970395678876206,0.48665073939732145
6,3,451,-3.1992801509871454,3,uniform_random,0.0,parity2,0.68,0.0,0.7939069616011726,0.4867183140345982
7,3,632,-2.0528301165043863,0,uniform_random,0.0,mux3,0.68,0.0,0.7957332817938598,0.5276096888950893
7,3,654,-2.0041482750979935,1,uniform_random,0.0,mux3,0.68,0.0,0.7920034604109508,0.5263998849051339
