"condition_index","copy_x1_similarity","copy_x2_similarity","dataset_index","function_hex","parity_alt_similarity","probability","rank","sampling_protocol","target_accuracy","target_name","threshold"
"0","0.5","0.5","0","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000000000000000","0.5","0.019287109375","1","uniform_random","1.0","parity2","0.02"
"0","0.375","0.5","0","0x0000000000000000FFFFFFFFFFFFFFFF55555555555555550000000000000000","0.5","0.0087890625","2","uniform_random","0.875","parity2","0.02"
"0","0.4375","0.53125","0","0x0000000000000000FFFFFFFFFFFFFFFF7F7F7F7F575757570000000000000000","0.46875","0.0079345703125","3","uniform_random","0.9375","parity2","0.02"
"0","0.484375","0.515625","0","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFF7F7F7F7F0000000000000000","0.484375","0.0057373046875","4","uniform_random","0.984375","parity2","0.02"
"0","0.3828125","0.5078125","0","0x0000000000000000FFFFFFFFFFFFFFFF55555757555555550000000000000000","0.4921875","0.0037841796875","5","uniform_random","0.8828125","parity2","0.02"
"0","0.49609375","0.50390625","0","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFF0000000000000000","0.49609375","0.003662109375","6","uniform_random","0.99609375","parity2","0.02"
"0","0.4921875","0.5078125","0","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFF7F7FFFFF0000000000000000","0.4921875","0.003662109375","7","uniform_random","0.9921875","parity2","0.02"
"0","0.46875","0.5","0","0x0000000000000000FFFFFFFFFFFFFFFF7F7F7F7F7F7F7F7F0000000000000000","0.5","0.003662109375","8","uniform_random","0.96875","parity2","0.02"
"1","0.65234375","0.84765625","0","0xFFFFFFFFFFFFFCFDFDFDD4DC00000000FFFFFFFF00000000FFFFFDFF00000000","0.35546875","0.0008544921875","1","uniform_random","0.89453125","mux3","0.02"
"1","0.66015625","0.83984375","0","0xFFFFFFFFFFFFFCFDFDFDD4D400000000FFFFFFFF00008080FFFFFFFF00000000","0.35546875","0.0008544921875","2","uniform_random","0.89453125","mux3","0.02"
"1","0.65234375","0.84765625","0","0xFFFFFFFFFFFFFCFCFDFDD4D400000000FFFFFFFF00000000FFFFFDFF00000000","0.35546875","0.0008544921875","3","uniform_random","0.89453125","mux3","0.02"
"1","0.6640625","0.8359375","0","0xFFFFFFFFFCFFD4FCFCFDC4DC00000000FFFFFFFF8080C0C0FFFFFDFF00000000","0.390625","0.000732421875","4","uniform_random","0.859375","mux3","0.02"
"1","0.6484375","0.8515625","0","0xFFFFFFFFFFFFFCFCFDFDD4DC00000000FFFFFFFF00000000FFFFFDFF00000000","0.359375","0.000732421875","5","uniform_random","0.890625","mux3","0.02"
"1","0.67578125","0.82421875","0","0xFFFFFFFFFCFFD4FCDCFDC4DC00000000FFFFFFFFC0C0C0C0FFFFFDFF00000000","0.39453125","0.0006103515625","6","uniform_random","0.85546875","mux3","0.02"
"1","0.65625","0.84375","0","0xFFFFFFFFFFFFFCFCFCFDC4DC00000000FFFFFFFF00000000FFFFFDFF00000000","0.3515625","0.0006103515625","7","uniform_random","0.8984375","mux3","0.02"
"1","0.66015625","0.83984375","0","0xFFFFFFFFFFFFFCFDDCFDC4DC00000000FFFFFFFF00000000FFFFFFFF00000000","0.33984375","0.0006103515625","8","uniform_random","0.91015625","mux3","0.02"
"2","0.5","0.5","1","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000000000000000","0.5","0.7059326171875","1","uniform_random","1.0","parity2","0.02"
"2","0.49609375","0.49609375","1","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000000000000800","0.50390625","0.129150390625","2","uniform_random","0.99609375","parity2","0.02"
"2","0.4921875","0.4921875","1","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000000008000800","0.5078125","0.033935546875","3","uniform_random","0.9921875","parity2","0.02"
"2","0.4921875","0.4921875","1","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000000000008800","0.5078125","0.0167236328125","4","uniform_random","0.9921875","parity2","0.02"
"2","0.4921875","0.5","1","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000080000000800","0.5","0.0133056640625","5","uniform_random","0.9921875","parity2","0.02"
"2","0.484375","0.5","1","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0800080008000800","0.5","0.0103759765625","6","uniform_random","0.984375","parity2","0.02"
"2","0.48828125","0.49609375","1","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000080008000800","0.50390625","0.008056640625","7","uniform_random","0.98828125","parity2","0.02"
"2","0.484375","0.4921875","1","0x0000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF0000080008008800","0.5078125","0.00732421875","8","uniform_random","0.984375","parity2","0.02"
"3","0.7890625","0.7109375","1","0xFFFFFFFF3F3F3F3F0003000300000000FFFFFFFF03030303033F333F00000000","0.3828125","0.001220703125","1","uniform_random","0.8671875","mux3","0.02"
"3","0.7890625","0.7109375","1","0xFFFFFFFF2B3F2F3F0003000300000000FFFFFFFF030B030B033F233F00000000","0.40625","0.0010986328125","2","uniform_random","0.84375","mux3","0.02"
"3","0.78125","0.71875","1","0xFFFFFFFF3F3F3F3F0003000300000000FFFFFFFF02030203033F333F00000000","0.375","0.0010986328125","3","uniform_random","0.875","mux3","0.02"
"3","0.80078125","0.69921875","1","0xFFFFFFFF3F3F3FBF0003000300000000FFFFFFFF030B030B033F333F00000000","0.38671875","0.0009765625","4","uniform_random","0.86328125","mux3","0.02"
"3","0.80078125","0.69921875","1","0xFFFFFFFF3F3F3F3F0003000300000000FFFFFFFF030B030B033F233F00000000","0.39453125","0.0008544921875","5","uniform_random","0.85546875","mux3","0.02"
"3","0.78515625","0.71484375","1","0xFFFFFFFF333F3FBF0003003300000000FFFFFFFF030303030333333F00000000","0.40234375","0.000732421875","6","uniform_random","0.84765625","mux3","0.02"
"3","0.78515625","0.71484375","1","0xFFFFFFFF2F3F2F3F0003020300000000FFFFFFFF030B030B033F2B3F00000000","0.40234375","0.000732421875","7","uniform_random","0.84765625","mux3","0.02"
