strategy,train_count,probe_bit_accuracy,probe_exact_accuracy,probe_majority_exact_accuracy,probe_pairwise_agreement,probe_prediction_entropy_bits,val_bit_accuracy,val_pairwise_agreement
uncertain,200,0.732108,0.00012,0.0,0.880468,0.203979,0.729963,0.881348
uncertain,250,0.753189,0.00036,0.0008,0.874452,0.214504,0.752453,0.875224
uncertain,300,0.771444,0.0008,0.0024,0.876632,0.21063,0.770192,0.877179
uncertain,350,0.790013,0.00184,0.0032,0.881144,0.203048,0.789603,0.881484
uncertain,400,0.810371,0.00352,0.0066,0.881176,0.202957,0.809527,0.881395
uncertain,450,0.832985,0.00736,0.0142,0.884768,0.196944,0.832801,0.884904
uncertain,500,0.855853,0.01356,0.0286,0.888264,0.19099,0.854936,0.887473
uncertain,550,0.869657,0.02028,0.0558,0.870788,0.221128,0.868845,0.870068
uncertain,600,0.895068,0.0414,0.1136,0.886253,0.194847,0.895077,0.88594
uncertain,650,0.918139,0.08352,0.203,0.902756,0.166973,0.918253,0.902911
uncertain,700,0.94062,0.16232,0.3798,0.919584,0.138641,0.939984,0.918789
uncertain,750,0.954113,0.24084,0.5296,0.933299,0.115444,0.95336,0.93218
uncertain,800,0.968496,0.38072,0.721,0.950444,0.086177,0.967707,0.949623
uncertain,850,0.977256,0.50048,0.8414,0.962135,0.066231,0.976933,0.961835
uncertain,900,0.983452,0.60836,0.9134,0.971099,0.050822,0.983195,0.970767
uncertain,950,0.989353,0.72552,0.9624,0.980737,0.034049,0.988993,0.980075
uncertain,1000,0.992444,0.7956,0.9848,0.985911,0.025035,0.992352,0.985653
uncertain,1050,0.991896,0.784,0.9858,0.984693,0.027272,0.991745,0.984341
uncertain,1100,0.994517,0.84804,0.9938,0.989509,0.018744,0.994409,0.989231
uncertain,1150,0.996415,0.89704,0.9984,0.993065,0.012417,0.996396,0.993053
uncertain,1200,0.997772,0.93572,0.999,0.995663,0.00779,0.997579,0.995276
uncertain,1250,0.998721,0.96244,0.9996,0.997491,0.004526,0.998688,0.997425
uncertain,1300,0.99902,0.97112,1.0,0.998063,0.003505,0.998996,0.998032
uncertain,1350,0.999445,0.98344,1.0,0.998896,0.002011,0.999387,0.998783
uncertain,1400,0.999628,0.98896,1.0,0.999263,0.001348,0.999651,0.999307
