strategy,train_count,round,probe_bit_accuracy,probe_exact_accuracy,majority_probe_exact_accuracy,probe_pairwise_agreement,probe_prediction_entropy_bits,sample_first_step,sample_last_step
uncertain,200,0,0.737048,0.000425,0.0004,0.987763,0.023355,800,2900
uncertain,250,1,0.747522,0.00025,0.0002,0.992061,0.015121,3700,5800
uncertain,300,2,0.763183,0.000325,0.0004,0.987972,0.023366,6600,8700
uncertain,350,3,0.77985,0.000975,0.001,0.987319,0.024317,9500,11600
uncertain,400,4,0.79855,0.002075,0.002,0.984828,0.028878,12400,14500
uncertain,450,5,0.818064,0.004775,0.005,0.982655,0.03328,15300,17400
uncertain,500,6,0.837751,0.009475,0.0106,0.96625,0.067298,18200,20300
uncertain,550,7,0.844104,0.00995,0.0136,0.927895,0.137105,21100,23200
uncertain,600,8,0.869258,0.02145,0.0244,0.956926,0.082221,24000,26100
uncertain,650,9,0.887654,0.038825,0.046,0.946643,0.1029,26900,29000
uncertain,700,10,0.909089,0.067075,0.0882,0.947229,0.101645,29800,31900
uncertain,750,11,0.930268,0.1269,0.1542,0.961365,0.074089,32700,34800
uncertain,800,12,0.945483,0.19145,0.2454,0.961583,0.073879,35600,37700
uncertain,850,13,0.959505,0.289125,0.372,0.966069,0.065398,38500,40600
uncertain,900,14,0.969572,0.394725,0.4798,0.972974,0.052291,41400,43500
uncertain,950,15,0.977762,0.5068,0.6194,0.977189,0.044103,44300,46400
uncertain,1000,16,0.984764,0.62985,0.7382,0.982968,0.033184,47200,49300
uncertain,1050,17,0.983498,0.60595,0.7054,0.982851,0.033381,50100,52200
uncertain,1100,18,0.989577,0.73015,0.8012,0.989108,0.02124,53000,55100
uncertain,1150,19,0.993535,0.822675,0.8926,0.992163,0.015355,55900,58000
uncertain,1200,20,0.995838,0.8827,0.9468,0.994177,0.01152,58800,60900
uncertain,1250,21,0.997713,0.933675,0.9746,0.996686,0.006595,61700,63800
uncertain,1300,22,0.998337,0.951375,0.9828,0.997408,0.00522,64600,66700
uncertain,1350,23,0.998816,0.964925,0.9892,0.998142,0.003762,67500,69600
uncertain,1400,24,0.999289,0.978825,0.9944,0.998843,0.002365,70400,72500
uncertain,1450,25,0.999542,0.98635,0.9984,0.999193,0.001656,73300,75400
uncertain,1500,26,0.999709,0.991325,0.9988,0.999475,0.001091,76200,78300
uncertain,1550,27,0.999352,0.98085,0.9946,0.999,0.002031,79100,81200
uncertain,1600,28,0.999644,0.9894,0.9972,0.999417,0.001196,82000,84100
uncertain,1650,29,0.999849,0.995475,0.9986,0.999755,0.000503,84900,87000
uncertain,1700,30,0.999889,0.996675,0.9992,0.999811,0.000388,87800,89900
uncertain,1750,31,0.999912,0.997375,0.9994,0.999847,0.000317,90700,92800
uncertain,1800,32,0.999934,0.998075,1.0,0.999875,0.000264,93600,95700
uncertain,1850,33,0.999967,0.999,1.0,0.999936,0.000138,96500,98600
random,200,0,0.737048,0.000425,0.0004,0.987763,0.023355,800,2900
random,250,1,0.741419,0.0,0.0,0.991241,0.016652,3700,5800
random,300,2,0.755941,0.000475,0.0006,0.990001,0.019047,6600,8700
random,350,3,0.772594,0.000425,0.0004,0.985151,0.028168,9500,11600
random,400,4,0.789752,0.001875,0.0022,0.983257,0.031889,12400,14500
random,450,5,0.807233,0.00215,0.0028,0.963228,0.071151,15300,17400
random,500,6,0.828995,0.007475,0.0082,0.969113,0.059554,18200,20300
random,550,7,0.83212,0.005225,0.0052,0.937844,0.118188,21100,23200
random,600,8,0.850561,0.012175,0.0146,0.945305,0.105614,24000,26100
random,650,9,0.871096,0.0209,0.0264,0.943526,0.109133,26900,29000
random,700,10,0.887428,0.0348,0.0408,0.945589,0.104717,29800,31900
random,750,11,0.907456,0.06505,0.0824,0.949426,0.097374,32700,34800
random,800,12,0.919883,0.0899,0.1122,0.948823,0.098272,35600,37700
random,850,13,0.934432,0.14365,0.1768,0.956998,0.082602,38500,40600
random,900,14,0.944412,0.194675,0.2646,0.95733,0.082049,41400,43500
random,950,15,0.956339,0.276375,0.3428,0.965586,0.066012,44300,46400
random,1000,16,0.965009,0.35625,0.438,0.970557,0.056678,47200,49300
random,1050,17,0.96822,0.3885,0.447,0.976831,0.044277,50200,52300
random,1100,18,0.974956,0.472,0.5586,0.977235,0.043795,53100,55200
random,1150,19,0.978814,0.530625,0.6358,0.978662,0.04134,56000,58100
random,1200,20,0.985278,0.644725,0.7422,0.984155,0.030755,58900,61000
random,1250,21,0.988163,0.701425,0.7892,0.98678,0.025674,61800,63900
random,1300,22,0.991842,0.781425,0.8612,0.990362,0.018839,64700,66800
random,1350,23,0.994162,0.840075,0.9132,0.992724,0.014269,67600,69700
random,1400,24,0.995403,0.8712,0.9364,0.99392,0.01196,70500,72600
random,1450,25,0.996621,0.9038,0.9536,0.995358,0.009206,73400,75500
random,1500,26,0.997557,0.929,0.9678,0.996577,0.006784,76300,78400
random,1550,27,0.996856,0.9111,0.9542,0.995841,0.008278,79200,81300
random,1600,28,0.998095,0.94455,0.967,0.997668,0.004587,82100,84200
random,1650,29,0.998678,0.961275,0.9846,0.998031,0.003936,85000,87100
random,1700,30,0.999069,0.972325,0.9886,0.998637,0.002737,87900,90000
random,1750,31,0.999297,0.979,0.9924,0.998918,0.002186,90800,92900
random,1800,32,0.999519,0.98575,0.996,0.99923,0.001569,93700,95800
random,1850,33,0.999683,0.990575,0.9966,0.99951,0.000991,96600,98700
random,1900,34,0.999778,0.99335,0.999,0.999619,0.000791,99500,101600
random,1950,35,0.999858,0.99575,0.999,0.999758,0.000502,102400,104500
random,2000,36,0.999853,0.9956,0.9984,0.999765,0.000479,105300,107400
random,2050,37,0.999909,0.997275,0.9988,0.999864,0.000282,108300,110400
random,2100,38,0.999887,0.9967,0.9996,0.999796,0.000423,111200,113300
random,2150,39,0.999913,0.997425,0.9998,0.99985,0.000313,114100,116200
random,2200,40,0.999958,0.998725,0.9998,0.999921,0.000168,117000,119100
random,2250,41,0.999947,0.998425,1.0,0.999906,0.000193,119900,122000
random,2300,42,0.999954,0.998625,1.0,0.999915,0.000178,122800,124900
random,2350,43,0.999974,0.999225,1.0,0.999953,0.000102,125700,127800
certain,200,0,0.737048,0.000425,0.0004,0.987763,0.023355,800,2900
certain,250,1,0.7464,0.00055,0.0006,0.991721,0.015728,3700,5800
certain,300,2,0.761688,0.0016,0.0018,0.989591,0.019677,6600,8700
certain,350,3,0.774424,0.002525,0.0024,0.988103,0.022802,9500,11600
certain,400,4,0.788751,0.003375,0.0026,0.985863,0.026889,12400,14500
certain,450,5,0.800978,0.005225,0.0058,0.975254,0.046869,15300,17400
certain,500,6,0.811195,0.0086,0.0092,0.976167,0.046056,18200,20300
certain,550,7,0.815405,0.0094,0.0098,0.972493,0.05275,21200,23300
certain,600,8,0.824884,0.011325,0.0146,0.935399,0.124129,24100,26200
certain,650,9,0.837869,0.01575,0.0188,0.946124,0.103747,27000,29100
certain,700,10,0.849152,0.02185,0.026,0.942098,0.11057,29900,32000
certain,750,11,0.860402,0.0316,0.0378,0.946407,0.102924,32800,34900
certain,800,12,0.86972,0.0423,0.054,0.946716,0.101843,35700,37800
certain,850,13,0.881112,0.056075,0.0706,0.946374,0.102536,38600,40700
certain,900,14,0.887841,0.064625,0.0842,0.947785,0.099747,41500,43600
certain,950,15,0.89903,0.087625,0.1078,0.951357,0.092985,44400,46500
certain,1000,16,0.907551,0.108825,0.13,0.956824,0.082475,47300,49400
certain,1050,17,0.910931,0.114825,0.138,0.958577,0.078743,50400,52500
certain,1100,18,0.919264,0.14025,0.1598,0.965863,0.064756,53300,55400
certain,1150,19,0.925771,0.163725,0.1972,0.961907,0.072979,56300,58400
certain,1200,20,0.934123,0.1982,0.2336,0.963616,0.069627,59300,61400
certain,1250,21,0.942384,0.2474,0.2948,0.96682,0.063438,62200,64300
certain,1300,22,0.950126,0.292275,0.3444,0.970643,0.056153,65100,67200
certain,1350,23,0.955133,0.325475,0.3846,0.971995,0.053715,68000,70100
certain,1400,24,0.960892,0.372325,0.4248,0.975443,0.04707,70900,73000
certain,1450,25,0.967841,0.440825,0.509,0.978052,0.04217,73800,75900
certain,1500,26,0.973797,0.506975,0.5784,0.980682,0.037134,76700,78800
certain,1550,27,0.976223,0.537,0.5796,0.986267,0.026326,79800,81900
certain,1600,28,0.979541,0.577875,0.6184,0.987995,0.02327,82700,84800
certain,1650,29,0.984271,0.647125,0.709,0.987673,0.02369,85600,87700
certain,1700,30,0.986157,0.681075,0.756,0.987489,0.024171,88500,90600
