step,train_bit_accuracy,probe_bit_accuracy,probe_exact_accuracy,direct_pairwise_agreement,prediction_entropy_bits,excess_agreement,bit_level_excess_agreement
0,0.499674,0.497844,0.0,0.500477,0.902245,0.000468,0.000423
1,0.516749,0.514422,0.0,0.49566,0.910702,-0.004756,-0.004872
2,0.540687,0.532789,0.0,0.532006,0.854988,0.029856,0.029663
3,0.549011,0.542155,0.0,0.557344,0.818235,0.05379,0.0533
4,0.549924,0.542462,0.0,0.566836,0.801287,0.06323,0.062881
5,0.566372,0.555538,0.0,0.59708,0.750767,0.090911,0.090526
6,0.579606,0.567073,0.0,0.646711,0.667256,0.137714,0.13748
8,0.577015,0.565198,0.0,0.622144,0.709465,0.113642,0.113256
10,0.594708,0.582408,0.0,0.703205,0.573181,0.189622,0.189408
12,0.605369,0.590672,0.0,0.769424,0.445485,0.252982,0.252693
15,0.612572,0.599253,0.0,0.804053,0.387448,0.284351,0.284215
20,0.623994,0.611562,0.0,0.8892,0.21939,0.364308,0.364109
30,0.63461,0.620359,0.0,0.925896,0.146804,0.396924,0.396786
40,0.650025,0.625674,0.0,0.926134,0.145288,0.394546,0.394397
50,0.69301,0.629864,0.0,0.84917,0.289376,0.31544,0.315329
75,0.849282,0.672662,0.0,0.790917,0.395892,0.231293,0.23119
100,0.970342,0.766883,0.000775,0.789625,0.398549,0.147172,0.146917
150,0.999954,0.912451,0.089325,0.883746,0.225168,0.043515,0.043394
200,1.0,0.958435,0.3154,0.936255,0.126096,0.01593,0.015886
250,1.0,0.975108,0.4975,0.959069,0.082232,0.007615,0.007592
300,1.0,0.982846,0.61485,0.970728,0.059373,0.004448,0.004433
350,1.0,0.987081,0.693075,0.977413,0.04621,0.002918,0.002908
400,1.0,0.98955,0.7414,0.981496,0.03799,0.002177,0.00217
450,1.0,0.991292,0.7776,0.984415,0.032105,0.00168,0.001675
500,1.0,0.992548,0.806075,0.986534,0.02784,0.001326,0.001321
550,1.0,0.99332,0.8242,0.987761,0.025416,0.001032,0.001028
600,1.0,0.994292,0.847975,0.989526,0.021757,0.000878,0.000875
650,1.0,0.994907,0.86285,0.990542,0.01975,0.000677,0.000675
700,1.0,0.995315,0.872275,0.991297,0.018185,0.000623,0.000621
750,1.0,0.995639,0.881,0.991863,0.017008,0.000546,0.000544
800,1.0,0.996141,0.893975,0.992791,0.01508,0.000479,0.000477
850,1.0,0.996483,0.902025,0.993397,0.013839,0.000407,0.000406
900,1.0,0.996663,0.90705,0.993738,0.013123,0.000391,0.00039
950,1.0,0.996907,0.91345,0.994171,0.012251,0.000337,0.000336
1000,1.0,0.997111,0.918925,0.994564,0.011434,0.000325,0.000324
1050,1.0,0.997318,0.923875,0.99494,0.010665,0.000288,0.000288
1100,1.0,0.997531,0.930525,0.99533,0.00984,0.000256,0.000255
1150,1.0,0.997589,0.931125,0.995412,0.009688,0.000222,0.000221
1200,1.0,0.997555,0.9306,0.995336,0.009856,0.000214,0.000213
1250,1.0,0.997663,0.93365,0.995546,0.009427,0.000208,0.000207
1300,1.0,0.997683,0.933775,0.995582,0.009334,0.000206,0.000205
1350,0.999996,0.997698,0.93415,0.9956,0.00931,0.000194,0.000193
1400,1.0,0.997721,0.9349,0.995627,0.009257,0.000175,0.000174
1450,1.0,0.997871,0.9394,0.995906,0.008686,0.000155,0.000155
